location,lat,lng
"Loomis, Washington, WA, United States, US",48.8235,-119.6398
"Pomeroy, Washington, WA, United States, US",46.4737,-117.5967
"Brush Prairie, Washington, WA, United States, US",45.725,-122.5483
"Silver Firs, Washington, WA, United States, US",47.8635,-122.1497
"Nespelem, Washington, WA, United States, US",48.167,-118.9722
"Meadowdale, Washington, WA, United States, US",47.8583,-122.3156
"Shadow Lake, Washington, WA, United States, US",47.4017,-122.0764
"LaCrosse, Washington, WA, United States, US",46.8021,-117.9013
"Concrete, Washington, WA, United States, US",48.5371,-121.7512
"Sumas, Washington, WA, United States, US",48.9956,-122.2695
"Ruston, Washington, WA, United States, US",47.2982,-122.51
"La Center, Washington, WA, United States, US",45.8589,-122.6764
"Marrowstone, Washington, WA, United States, US",48.0568,-122.6933
"Chelan Falls, Washington, WA, United States, US",47.7995,-119.9882
"Lake Cavanaugh, Washington, WA, United States, US",48.3225,-122.0122
"Duluth, Washington, WA, United States, US",45.7838,-122.647
"Sequim, Washington, WA, United States, US",48.0747,-123.0944
"Benton City, Washington, WA, United States, US",46.2624,-119.4814
"Moses Lake, Washington, WA, United States, US",47.1284,-119.2741
"Fircrest, Washington, WA, United States, US",47.2308,-122.5157
"Othello, Washington, WA, United States, US",46.8222,-119.1651
"Mercer Island, Washington, WA, United States, US",47.5625,-122.2265
"Enumclaw, Washington, WA, United States, US",47.2017,-121.9897
"Chico, Washington, WA, United States, US",47.6234,-122.7198
"Enetai, Washington, WA, United States, US",47.5885,-122.6058
"Hunts Point, Washington, WA, United States, US",47.642,-122.229
"Clinton, Washington, WA, United States, US",47.9731,-122.3577
"Hat Island, Washington, WA, United States, US",48.013,-122.3201
"Marietta-Alderwood, Washington, WA, United States, US",48.7932,-122.5566
"Waitsburg, Washington, WA, United States, US",46.2696,-118.151
"Sunnyslope, Washington, WA, United States, US",47.4913,-120.3493
"South Cle Elum, Washington, WA, United States, US",47.1862,-120.9525
"Selah, Washington, WA, United States, US",46.6482,-120.5389
"Lind, Washington, WA, United States, US",46.9704,-118.6165
"Five Corners, Washington, WA, United States, US",45.6883,-122.5738
"Winthrop, Washington, WA, United States, US",48.4716,-120.179
"Normandy Park, Washington, WA, United States, US",47.4344,-122.3436
"Home, Washington, WA, United States, US",47.279,-122.7744
"Graham, Washington, WA, United States, US",47.0407,-122.2757
"Yacolt, Washington, WA, United States, US",45.865,-122.4059
"Packwood, Washington, WA, United States, US",46.6085,-121.6702
"Queets, Washington, WA, United States, US",47.5314,-124.3385
"Finley, Washington, WA, United States, US",46.1697,-119.0446
"Northport, Washington, WA, United States, US",48.9159,-117.7796
"Medina, Washington, WA, United States, US",47.6256,-122.2338
